,Clean_Tweet,sentiment
3,clown know everything say dumb get people talking get bag suppose,Negative
13,nothing like high school football,Negative
18,sorry corrected current power outage current time,Negative
29,ever sad sleep,Negative
39,please get touch ask look case brown year old looking killing year old rapist,Negative
51,come nonsense,Negative
54,admitted sent kilo cocaine southern exchange cache could appearance rap video mean prison time,Negative
56,drunk skunk,Negative
76,coming anniversary torso collision,Negative
87,retire embarrassing trying tackle,Negative
89,garnett animal stop,Negative
92,become suspect decent spin bowling,Negative
101,awful human end broke heart poor boy,Negative
102,mad cause tha topic everywhere got watching,Negative
111,nothing watching people love put,Negative
112,know big song damn open,Negative
116,joke one brutal ever seen,Negative
126,maybe stuck boo,Negative
130,hell going get shiny huh,Negative
132,rolling grave,Negative
137,hurt,Negative
140,hell want mean damn,Negative
146,send dad splash warning meek mill future young thug,Negative
152,disgusting,Negative
153,crazy,Negative
160,dishonest research specific niche brand whole class nonsense decide conclusion research,Negative
167,start away uneasy,Negative
171,either stop sign stop sign turn green stupid,Negative
172,drove place panic attack burbank library remember panic attack,Negative
174,troubadour going big empty,Negative
180,someone missing point,Negative
181,problem,Negative
197,would last approximately snap getting injured,Negative
201,type take bitch mind help bitch find,Negative
206,dick serum police,Negative
218,get done need stop spending,Negative
220,irony,Negative
226,broke heart poor guy shaking wack,Negative
239,family stole damn sad,Negative
260,allergic jail time,Negative
263,sri hidden game plan plight oppressed demanding justice,Negative
265,penalty,Negative
290,smith bad,Negative
293,wreck week dawn dust,Negative
294,cry feel doe talk,Negative
299,cry,Negative
303,unstoppable icon,Negative
308,double home alone feature,Negative
324,history heap scorn last call resign,Negative
329,high school cry,Negative
353,man cannot tell truth,Negative
364,tired seeing people trying reinvent poke one white wash capitalize,Negative
370,unless take account low previous government even still enough police,Negative
379,making tinder shaking,Negative
389,stop sloppy,Negative
392,got wrong,Negative
408,dumb bitch,Negative
411,supposed call people crazy surely bat crazy need prayer,Negative
420,touch back car making stop,Negative
426,moron,Negative
432,moody,Negative
435,fight,Negative
439,tweet even serious would get direct attack,Negative
440,telling nephew take home said stay night made cry,Negative
449,sorry going shall pas,Negative
468,video incase anyone confused,Negative
493,brutal,Negative
509,roomie killing modeling stuff,Negative
514,get steroid shot as today degrading thing ever,Negative
515,blaze guy crazy,Negative
520,lying treasonous traitor country hope get sent away til perish,Negative
525,sorry,Negative
529,coming cry,Negative
550,tough need work,Negative
557,want bad bitch dance tombstone bounce,Negative
570,whoever damn fool,Negative
571,government trying execute villain indirectly attack may hell sudden economic rise,Negative
601,disturbance priority block division police,Negative
607,disturbance priority block ave police,Negative
616,little gut got embarrassing,Negative
621,locking behind ban harsh ice currently effect racist catholic oppose social justice church,Negative
622,bitch,Negative
630,saying daughter always hard,Negative
664,assault account united,Negative
666,bitch,Negative
687,arguable,Negative
696,popular vote anything mid proven fraud high exceed population evidence quickly substitute fraud court court,Negative
712,disgusting,Negative
715,dead,Negative
732,need posted stop heart every time think,Negative
740,literally upset,Negative
742,liar fraud,Negative
763,worried unless live worried,Negative
764,long take come central central weird drive swear,Negative
768,yes crazy ugh,Negative
770,sri hidden game plan plight oppressed demanding justice,Negative
784,let tua disrespect slide,Negative
785,please clown arrogant,Negative
789,guess fighting least enforcer settle,Negative
802,sad think riding turn around take life,Negative
806,rest month serious people,Negative
817,as dont stand chance,Negative
823,weak sweaty vomit sweater already spaghetti,Negative
836,mercer atlas network acton group hate russia trump presidency,Negative
840,pay jail,Negative
844,figure stop money account done site even possible negative,Negative
856,drink probably drank worse,Negative
860,god getting paint hate underworld twitter pull year old man,Negative
868,papa con sin,Negative
877,maybe stuck boo,Negative
878,cry fine,Negative
880,warning looking directly intense stare may cause severe retinal damage buckhorn,Negative
885,give man steak cry loud,Negative
893,tua year tonight well confuse secondary doubt elite,Negative
894,get look greedy bitter mean game begin,Negative
902,dude fully livid fork loathe tho man way short,Negative
918,throat still hurt nose stuffed weekend,Negative
920,douche pickle,Negative
927,illegal follow soldier tax racist,Negative
946,racist hilarious,Negative
949,tired seeing,Negative
962,crazy huh,Negative
963,damn never super gonorrhea,Negative
967,drake make cry,Negative
980,want see dead body,Negative
991,got training actually fighting whooping see,Negative
997,rather bad guy victim day,Negative
1005,beanie game crazy,Negative
1016,cheap bitch,Negative
1021,hey mark wondering shoot,Negative
1029,die,Negative
1048,hell,Negative
1052,cut judge,Negative
1059,straight fire,Negative
1060,cousin loud hell son budge let think breathing hard side house jump,Negative
1068,horrible absolutely big,Negative
1071,glad racist piece,Negative
1075,feeling sad take hit feeling anxious take hit feeling tired take hit,Negative
1081,sister update stupid story text back,Negative
1087,damn,Negative
1089,dry hell,Negative
1093,close government religion old make kill non forget political correctness share,Negative
1094,uncontrollable urge use racial,Negative
1112,people wonder say worst state live undocumented clue,Negative
1116,miss,Negative
1117,unfortunately shortage people want import disastrous agenda united even already way perhaps congress green new deal cortez,Negative
1120,niece swear baby girl sit as as whole baby,Negative
1149,crazy,Negative
1154,poor baby,Negative
1161,dirty,Negative
1163,classic mistake,Negative
1165,thought jersey cold winter bitch reverse hell,Negative
1181,stopped,Negative
1198,bad least get name first,Negative
1201,people likely kill family,Negative
1207,give break reason hate treatment received back hole sell husker football gear,Negative
1209,took photo fight,Negative
1211,yes refuse believe prepared attack yet jump gun either living constitution living people still stand people weather infiltration government doubt,Negative
1212,hot damn,Negative
1213,another terrible take like extremely elusive take many direct worse injury throwing thumb back helmet statue prone getting hurt sec,Negative
1217,ward never pretty sure,Negative
1223,anyone link stream fight,Negative
1240,cat dog ran mad,Negative
1243,anyway take toughness,Negative
1246,talking arm control country selling country killing people,Negative
1255,sick vocabulary always said since junior year,Negative
1264,woman cant win,Negative
1266,lost war,Negative
1297,battle tendency said,Negative
1311,shadow looking thick hell,Negative
1315,tone sad,Negative
1325,even saying true illegal difficult understand non difference,Negative
1328,petty,Negative
1333,think another way look person would normally proven criminal president think,Negative
1336,think ignore maybe want give irrelevant mad as bitch time,Negative
1347,swear,Negative
1353,lost many year done numb pain rest peacefully gone miss,Negative
1357,literally insecure public,Negative
1363,nag may may,Negative
1391,one like learned abuse welfare system reality,Negative
1400,ahem united arose prevent disastrous world trump literally sneering peace kept right side rhine first year span since western tradition nationalism war war war,Negative
1401,troy brown missing experience worst part game,Negative
1402,selective outrage,Negative
1415,father daughter seen forbidden bond really creepy hell disgusting,Negative
1416,miss,Negative
1419,depression afraid work think fired due depression due interview,Negative
1442,shameless kiss vanity,Negative
1460,big mad,Negative
1462,whole blocking swear embarrass,Negative
1471,yeah suck,Negative
1474,disgusting,Negative
1476,beating hell people tonight see,Negative
1495,thing hate ticket like next season,Negative
1498,fancy quince sanger nothing good,Negative
1500,serious,Negative
1516,leave morning need slowly start probably pack everything night,Negative
1535,social medium freezing rain inch report freezing rain,Negative
1540,really drama annoying,Negative
1544,hate thought,Negative
1549,going blind,Negative
1552,leave video,Negative
1560,looking trap hip hop rap work new complete one work weekend need going epic got skill,Negative
1564,low man,Negative
1568,never ready smoke life,Negative
1572,getting feisty tonight much would pay see game tomorrow instead,Negative
1575,really sad cap,Negative
1576,penalty still michigan two left second period,Negative
1577,pro tip sharp already sheer ice avoid,Negative
1580,gold fake real live,Negative
1585,awful perty today village,Negative
1598,sleep good hell really drunk whole bottle red,Negative
1603,wait eventually struggle financially time day come sooner rather later,Negative
1605,damn tua bout throw,Negative
1607,hope hard argue penalty feisty competitor uncharacteristic play dirty yes typically dirty player,Negative
1610,sorry least try,Negative
1616,fact assault might one pathetically read,Negative
1618,reference information consider reliable cross reference hard copy,Negative
1625,come dude still miss,Negative
1634,illegal gee know,Negative
1637,fool,Negative
1638,lied,Negative
1639,ugh queen,Negative
1649,broke mine morning,Negative
1650,cat kill tree really fast,Negative
1657,drunk people,Negative
1658,selective outrage,Negative
1666,believe disgusting people handle actually job pathetic leftist corrupt unbelievable,Negative
1669,mar got nonexistent hurricane damage via,Negative
1675,joker show crazy creep shut liberal mouth emotional vomit control loser trump weird man one whack,Negative
1681,thought today cry,Negative
1683,score embarrassing throwing cheap shot,Negative
1685,vicious salty tide,Negative
1693,game got boring,Negative
1695,sight never old awesome job season right foot arrive arse leave hardware,Negative
1702,point hunting kill hard,Negative
1704,mother getting dog hell,Negative
1715,likely game wear jersey job worst,Negative
1716,battle tendency aka mommy,Negative
1729,miss mommy,Negative
1747,dam broken bring flood flagship,Negative
1750,sorry,Negative
1755,bit absent twitter lately discovered trap busy turning dick hamburger helper,Negative
1757,miss throat sore time hate taking normal throat,Negative
1777,drunk order family dinner least driving drunk football,Negative
1780,chill beat killer song new,Negative
1792,like legit suck whole dick get time line,Negative
1812,wit damn bad new act like,Negative
1828,know losing bad,Negative
1830,type disability poor guy tho sad,Negative
1844,unwanted person block center common way police,Negative
1856,medical block bond ave fire,Negative
1860,medical block russet fire,Negative
1862,dope get add booker could deadly fox buddy took game another level people possible hater gone hate,Negative
1864,vehicle stolen cold block ave police,Negative
1867,exactly military activity involved head right hurt bad enlist jungle rot actually serving get come home,Negative
1868,arena throwing hot dog bad getting beat,Negative
1874,always trouble skip guess,Negative
1880,could lot worse,Negative
1882,nasty,Negative
1888,left bitch home think need new bae,Negative
1891,damn got,Negative
1899,young reckless,Negative
1909,black men cheat,Negative
1911,annoying,Negative
1932,missing,Negative
1936,man show got sick stomach change channel,Negative
1939,damn right,Negative
1943,back next stop new bag broke mine way home since cold need refund,Negative
1945,hell put list broke leg several ago also mention beat defensive player year previously week never understand,Negative
