,Clean_Tweet,sentiment
0,truly glad specific people feel becoming happier day day,Positive
1,little smoked chicken potpie action,Positive
2,show hem episode singing special suite life,Positive
4,love come tide rolling,Positive
5,breaking nick glass nicely icy tonight recipe,Positive
6,think fell love hockey tonight,Positive
7,guess would explain never got involved,Positive
8,work every single day,Positive
9,thug geek showing hoodie got birthday today thanks coming party via,Positive
10,hanging warming house green room preshow board warming house,Positive
11,big day bacon today,Positive
12,swear better win game afford another let,Positive
14,honestly worst taste people shown time time,Positive
16,craving satisfied,Positive
17,love,Positive
19,goodness,Positive
20,batman part warner studio tour,Positive
21,public,Positive
22,wrestling,Positive
23,good show united,Positive
24,casual reminder anime guy name movie since came sublime,Positive
26,flying,Positive
27,add day remain take majority control house,Positive
28,forever gone widdle baby,Positive
30,girl chip locker take want,Positive
31,silver lake come yesterday wait get score,Positive
32,said best definition racism breakfast club intersection power best definition ever racism simple,Positive
33,thankful fam,Positive
34,know floss,Positive
35,trump idea would win,Positive
37,friend told marvel garbage felt,Positive
38,trust image posting bot written rover driver include auto,Positive
40,ever think one day get married start swell cause,Positive
41,comet year appear night sky,Positive
42,loading twitter,Positive
43,wait tiny die ever would make like old wow,Positive
44,hence cannot racist control power structure prejudiced day long never racist end debate,Positive
45,pimp,Positive
46,coffee dear wife said think good said yes better great think alike never argue girl,Positive
47,better get call player safety,Positive
48,good job,Positive
49,everyday like way saying never day job,Positive
52,get dad like mine life absolute papa said going fun,Positive
53,would never make bad,Positive
57,thank,Positive
59,exact opposite fall national statement maker hall garden magic go way switch first second half maturation star season result,Positive
61,faced born way concealer fit concealer,Positive
62,spoiled ballot vote,Positive
63,happy though,Positive
66,said dad fan,Positive
67,come wit see game,Positive
68,la,Positive
69,absolutely building academically,Positive
70,still idea city,Positive
72,pastel,Positive
74,make car side side,Positive
78,convinced casual watch boxing,Positive
79,president head military must defend domestic foreign,Positive
80,yes trash,Positive
81,seriousness though going put winner,Positive
82,listen night music make,Positive
83,shout professionalism display,Positive
84,great dub baby,Positive
86,situation,Positive
88,paying,Positive
91,final tech good night student ice arena,Positive
93,cut boston easy rebound,Positive
94,done meant,Positive
95,stay warm,Positive
96,believe went past grade,Positive
98,con,Positive
99,double making good amount past move advance career better family lot ought know experience,Positive
100,always feel safe behind wheel channel link positive positive,Positive
103,drink like road damn firestone,Positive
104,respect one,Positive
105,fat lady sung yet,Positive
106,dummy,Positive
107,respect,Positive
109,college party one change life officially know people feel,Positive
110,brown,Positive
113,sure someone going help still good hearted people,Positive
114,exactly,Positive
115,history custom,Positive
117,thank bad as piece repost tattoo nautical ocean pirate shark rope clock compass map,Positive
118,see,Positive
119,anyway want big favor whatever easiest know thank done awesome people never know might meet guardian,Positive
120,head pounding,Positive
121,want happily married devote life love beautiful soul lord sent way much ask,Positive
122,got good,Positive
124,wait see next year,Positive
125,thank choosing,Positive
128,right crushing since fine as,Positive
129,morning game,Positive
131,better feeling heat assistance go get full tank propane,Positive
133,love love rob face,Positive
134,hung stocking dad finding small way include,Positive
135,reward besides trophy course completely enjoy,Positive
136,someone tell feel like think literally know sure,Positive
138,yes watched like time,Positive
139,stay awake overtime,Positive
141,correct contact football related season,Positive
142,pull anything,Positive
143,poppin slime,Positive
145,fitting guy pussy as cheap shot reason nobody,Positive
147,luckily like short couple tee lot use warm weather need buy wardrobe get south,Positive
148,first hit,Positive
149,watch teammate,Positive
150,somebody else got got,Positive
151,day history league,Positive
154,nepotism highest bunch going flooded swamp fed,Positive
156,posted photo mercy lounge,Positive
157,accurately hairdo almost entire winter,Positive
158,judge fox news,Positive
159,yes,Positive
161,right hide let rejoice glow getting,Positive
162,dear made tech university,Positive
163,zeta get pas,Positive
164,like fouling call,Positive
165,get glass,Positive
166,surprise,Positive
168,telling serious becoming business partner like scene something filler dialogue setting someone else joke smile,Positive
169,alternate universe anything related anything site period,Positive
170,stunning,Positive
173,camelback mountain,Positive
175,theme day work always much fun,Positive
176,need new profile pic,Positive
177,mind business one point tweet teaching sex natural sex married one night like raise dumb get pregnant,Positive
178,see,Positive
179,hit door,Positive
182,people back,Positive
183,rather national championship anyway see,Positive
184,officially factor extra time morning car warm defrost season,Positive
185,sister got one going wear jacket board short natty said would got though,Positive
186,give,Positive
187,let,Positive
188,contest,Positive
189,love tonight brought hope pleasure meet,Positive
190,name,Positive
191,movie especially dingo red knock rival put rex sleep one spoke intellectual everyone else great,Positive
192,cool scoring let love cute,Positive
193,trying imagine going owl mind like mouse dude,Positive
194,party local union,Positive
195,tough stretch ahead feeling coaching change right sure well done,Positive
196,happy see son come home,Positive
199,got,Positive
200,man need jersey,Positive
202,glad portion,Positive
203,get header constant source entertainment,Positive
205,sleep,Positive
209,right looking pretty bad,Positive
211,play story mode,Positive
212,hey queen,Positive
213,someone put bag chip upside,Positive
214,make original animated always messing,Positive
215,food wash say anything twitter,Positive
216,team series classic match skill skill luck every time center,Positive
217,awesome story great highlight day,Positive
219,love,Positive
221,cult like following undeterred presidency leaving chaos wake,Positive
222,big picture tua gon better collegiate minor tha,Positive
223,hot hot hot,Positive
224,getting confirmed hope pin,Positive
225,seriousness disrespect appreciate passion game strongly disagree tonight,Positive
227,exist revive current develop fresh one,Positive
